standard,gaap_tag,statement
Buildings,BuildingsAndImprovementsGross,balance
Buildings,InvestmentBuildingAndBuildingImprovements,balance
Buildings,BuildingsAndLeaseholdImprovements,balance
Buildings,BuildingsAndBuildingEquipment,balance
Buildings,BuildingsAndBuildingEquipmentGross,balance
Buildings,MachineryAndEquipmentGross,balance
Buildings,Land,balance
Buildings,LandBuildingsAndImprovementsGross,balance
Buildings,BuildingsLandAndImprovementsGross,balance
Buildings,LandBuildingsAndImprovements,balance
